system:index,EVI,FAPAR,FAPAR_3b,LAI,LAI_3b,NDMI,NDVI,NDVIrededge,.geo
20210607T100559_20210607T101225_T33UVR_0,0.32588873369682236,0.46906954119297484,0.46204402990149235,1.4251190633906945,1.3814522072108384,0.23217978180891988,0.6622023698837304,0.4432695687986622,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210607T100559_20210607T101225_T33UWR_0,0.32711151749133277,0.4671091169306952,0.4555198137624274,1.412392307434793,1.3383118836288732,0.23534493221325078,0.6597407382122692,0.44368791252846956,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210614T100029_20210614T100222_T33UVR_0,0.40784583702089494,0.4702921904334292,0.47647208996511936,1.3446877230299787,1.3447392749931506,0.21676932315236244,0.6299382203166406,0.4236145326222642,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210614T100029_20210614T100222_T33UWR_0,0.4117007240110494,0.46792773167913676,0.473447712022842,1.3530673254518657,1.3315052047858789,0.21910822401999455,0.6252171431032548,0.4216220410964324,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210617T100559_20210617T101301_T33UVR_0,0.3134939246607406,0.4773196092575829,0.47197104463387507,1.469281177496662,1.4627332020913577,0.21890232153602687,0.6813468114379729,0.4679791865002458,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210617T100559_20210617T101301_T33UWR_0,0.3137616953591141,0.4751694379626979,0.46476269208227455,1.4572248828124588,1.420287913277083,0.22050711989543853,0.6796017786175643,0.46836663659771943,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210619T100031_20210619T100523_T33UVR_0,0.33027672610955144,0.47302984341162746,0.48972022863241443,1.4821320495304404,1.480138593954268,0.19534364677502164,0.7029257855949553,0.4625430739533582,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210619T100031_20210619T100523_T33UWR_0,0.3413191838887417,0.46887502520830915,0.46910675878117875,1.4721956097949707,1.3716649255171678,0.20505001727460412,0.6706286010953054,0.44748126713164893,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210724T100029_20210724T100028_T33UVR_0,0.31668217872491244,0.3340259641575926,0.3658711980251911,0.6992055942720531,0.8648008355753732,0.0019116083527436507,0.4767947389234911,0.32407358755267474,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210724T100029_20210724T100028_T33UWR_0,0.3205941861592005,0.331097106786263,0.3640677068994505,0.7067196631286927,0.8522118691983794,0.002784396597218258,0.4747301236020735,0.32286456022236026,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210727T100559_20210727T100556_T33UVR_0,0.25928890624497897,0.3497272368827493,0.3282509862374791,0.7282698641342275,0.7365975091281212,0.007501930318787638,0.43396865701591414,0.2882022982070454,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210727T100559_20210727T100556_T33UWR_0,0.2587798654373269,0.3478310968948079,0.3259454314072811,0.72152107226571,0.7038727158935469,0.009215040999672951,0.43155081650352745,0.2878292269732341,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210729T100031_20210729T100410_T33UWR_0,0.2630021418007278,0.3631637356814297,0.271265882861457,0.8005491744239884,0.5699556454744399,0.014100856673801709,0.39441200203491605,0.24153544322746445,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210808T100031_20210808T100409_T33UVR_0,0.25381819110977,0.28949634712892,0.2938463848676466,0.6478256249626725,0.5953053608270918,-0.004172788650712384,0.4100554886052481,0.2666229072742273,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210813T100029_20210813T100215_T33UVR_0,0.25038923003604696,0.22177560428915294,0.2766410795852444,0.4959004838656018,0.5265479597825892,-0.10938917350347671,0.3925884623836244,0.2561165495668926,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210813T100029_20210813T100215_T33UWR_0,0.255827221335077,0.22120414458205875,0.2778574446837827,0.5021606233359711,0.5243154693027706,-0.1101975648597068,0.3925534283575175,0.2570138300030505,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210902T100029_20210902T100146_T33UWR_0,0.2314721648543375,0.22725965156255515,0.2919122416236595,0.4786234136392621,0.514507767470343,-0.10053198751150226,0.409075002522157,0.27449273324891693,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210905T100549_20210905T101615_T33UVR_0,0.2400895936845994,0.2583015003177225,0.3157306542103549,0.5128785623532659,0.5943651897931964,-0.10265620148344465,0.4207145864544019,0.28721718501114146,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
